net_id,std_nr
6279473,10000665
6320562,10000672
6320600,10000679
6340776,10000680
6330983,10000681
6036953,10000685
6279511,10000686
6320635,10000687
6320678,10000692
6279538,10000693
6320686,10000694
6320694,10000699
6320708,10000701
6176526,10000702
6320716,10000703
6279589,10000706
6267629,10000709
6084966,10000714
6320759,10000715
6279635,10000718
6234011,10000723
6320791,10000728
6320880,10000752
6320902,10000756
6340806,10000757
6310672,10000758
6320910,10000759
6320937,10000767
6131808,10000786
6321003,10000787
6321046,10000794
6321054,10000795
6210619,10000797
6331009,10000802
6036449,10000806
6321100,10000810
6321119,10000812
6279945,10000813
6321127,10000814
6321151,10000820
6238483,10000823
6321216,10000831
6280005,10000832
6280013,10000833
6280021,10000834
6331017,10000837
6321240,10000845
6280072,10000847
6280080,10000848
6321267,10000853
6321275,10000857
6280110,10000859
6041728,10000866
6321348,10000867
6321356,10000868
6340881,10000873
6280196,10000880
6280218,10000881
6280226,10000882
6173551,10000890
6321399,10000893
6321402,10000895
6066860,10000898
6280307,10000899
6036791,10000903
6331068,10000905
6321461,10000915
6225918,10000919
6251382,10000926
6252583,10000927
6328482,10000933
6280412,10000938
6280439,10000942
6216870,10000946
6236138,10000956
6321623,10000959
6089003,10000967
6321682,10000969
6280544,10000973
6280560,10000982
6280587,10000984
6340938,10000985
6321763,10000988
6280595,10000991
6340954,10000993
6328490,10001002
6280609,10001003
6321860,10001005
6321879,10001008
6280625,10001009
6280633,10001013
6280641,10001014
6340962,10001016
6037356,10001025
6321941,10001029
6280684,10001030
6050972,10001033
6280706,10001040
6321984,10001043
6324207,10001046
6280730,10001048
6310699,10001051
6322018,10001052
6075193,10001054
6280765,10001055
6322077,10001071
6280862,10001074
6280870,10001075
6310702,10001076
6073638,10001080
6331106,10001081
6252613,10001084
6322107,10001086
6322115,10001087
6328504,10001094
6211526,10001099
6322174,10001101
6322190,10001104
6280935,10001107
6340997,10001108
6322212,10001110
6280943,10001112
6280951,10001116
6236162,10001121
6322247,10001124
6322255,10001125
6324223,10001135
6322336,10001150
6322352,10001154
6322387,10001163
6331114,10001169
6322417,10001171
6042732,10001175
6241565,10001176
6322468,10001177
6281176,10001182
6238548,10001183
6322492,10001184
6281184,10001185
6322522,10001194
6322530,10001196
6234054,10001220
6281338,10001230
6322654,10001236
6322697,10001251
6322700,10001252
6322727,10001262
6331122,10001284
6232000,10001289
6322816,10001290
6322883,10001305
6324274,10001306
6322913,10001314
6281540,10001315
6281559,10001316
6341152,10001318
6281583,10001322
6238645,10001325
6341160,10001327
6047122,10001328
6322956,10001341
6281729,10001347
6281737,10001349
6238661,10001369
6323057,10001372
6067980,10001380
6281958,10001412
6281974,10001415
6217087,10001418
6031870,10001419
6282008,10001420
6282024,10001423
6282040,10001425
6341268,10001444
6310729,10001447
6037038,10001452
6328520,10001456
6341276,10001463
6032850,10001466
6252737,10001472
6341284,10001473
6282385,10001475
6282393,10001476
6282431,10001485
6282458,10001487
6282504,10001492
6232019,10001498
6282571,10001500
6282652,10001509
6282660,10001511
6282695,10001518
6282768,10001525
6341322,10001533
6341330,10001535
6282822,10001537
6217109,10001538
6282830,10001539
6282857,10001545
6282873,10001547
6341357,10001548
6282881,10001549
6282946,10001554
6282954,10001556
6282997,10001563
6283004,10001564
6275834,10001565
6283039,10001569
6283101,10001579
6283128,10001581
6283144,10001586
6283160,10001590
6057322,10001597
6035485,10001602
6283349,10001615
6283365,10001618
6283446,10001626
6283454,10001627
6341438,10001629
6283586,10001643
6041868,10001652
6341446,10001662
6035566,10001663
6238777,10001670
6331238,10001673
6283837,10001674
6283888,10001682
6283896,10001683
6283942,10001689
6283985,10001696
6217141,10001698
6284027,10001704
6284035,10001706
6331246,10001708
6284094,10001714
6284132,10001720
6284140,10001721
6284302,10001740
6267688,10001748
6341519,10001752
6341527,10001763
6284434,10001764
6309003,10001768
6284485,10001773
6331262,10001780
6338275,10001782
6284558,10001785
6284566,10001789
6284582,10001791
6328571,10001796
6241956,10001799
6271839,10001800
6341586,10001804
6180655,10001810
6284744,10001825
6331270,10001838
6324339,10001847
6217206,10001851
6341632,10001855
6284957,10001860
6285007,10001866
6033059,10001874
6285139,10001888
6068189,10001889
6285171,10001893
6285198,10001896
6341713,10001904
6033563,10001916
6285376,10001921
6271847,10001925
6341748,10001928
6331289,10001937
6041582,10001939
6331297,10001944
6285600,10001957
6328598,10001965
6285678,10001968
6285759,10001978
6285767,10001980
6285805,10001986
6331300,10001988
6285864,10001994
6285880,10001996
6341810,10002000
6285937,10002003
6238815,10002013
6286003,10002014
6341837,10002018
6286135,10002035
6286194,10002042
6341853,10002046
6286259,10002051
6286305,10002057
6286348,10002062
6286356,10002063
6286410,10002071
6331351,10002074
6286461,10002081
6286550,10002090
6341861,10002094
6286615,10002100
6286623,10002106
6286658,10002109
6286763,10002121
6286844,10002131
6287018,10002150
6147577,10002154
6287042,10002155
6328601,10002171
6287190,10002178
6287212,10002181
6059171,10002192
6287328,10002196
6323162,10002198
6287352,10002201
6287360,10002202
6287395,10002206
6287484,10002223
6035523,10002229
6232086,10002240
6287581,10002247
6287603,10002248
6287611,10002249
6287727,10002265
6331408,10002275
6287816,10002280
6342027,10002281
6287832,10002284
6331424,10002296
6288014,10002310
6288030,10002312
6288103,10002321
6288138,10002323
6252877,10002327
6288154,10002331
6288162,10002332
6238874,10002334
6288170,10002335
6288235,10002342
6288243,10002344
6217338,10002352
6288383,10002366
6234097,10002367
6331440,10002369
6288529,10002391
6288537,10002393
